STATE/UT,DISTRICT,Year,Murder,Assault on women,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against SCs,Violent Crimes,Property Crimes,Total Crimes
Andhra pradesh,ADILABAD,2001,0,1,4,0,0,0,3,0,15,32,8,0,55
Andhra pradesh,ANANTAPUR,2001,0,4,0,0,0,0,49,21,0,53,53,0,127
Andhra pradesh,CHITTOOR,2001,3,3,0,0,0,0,38,36,0,34,44,0,114
Andhra pradesh,CUDDAPAH,2001,0,3,0,0,0,0,20,52,0,25,23,0,100
Andhra pradesh,EAST GODAVARI,2001,1,3,0,0,0,0,3,12,63,7,7,0,89
Andhra pradesh,GUNTAKAL RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra pradesh,GUNTUR,2001,4,5,1,0,0,3,53,16,6,53,63,3,141
Andhra pradesh,HYDERABAD CITY,2001,0,2,1,0,0,0,0,40,1,35,3,0,79
Andhra pradesh,KARIMNAGAR,2001,8,1,3,3,1,0,52,72,6,10,64,4,156
Andhra pradesh,KHAMMAM,2001,2,6,0,0,0,0,12,51,0,90,20,0,161
Andhra pradesh,KRISHNA,2001,1,2,4,0,0,0,13,98,79,82,20,0,279
Andhra pradesh,KURNOOL,2001,4,5,0,0,0,0,42,119,0,32,51,0,202
Andhra pradesh,MAHABOOBNAGAR,2001,10,8,0,0,0,0,9,79,25,90,27,0,221
Andhra pradesh,MEDAK,2001,4,2,0,0,0,0,1,27,1,26,7,0,61
Andhra pradesh,NALGONDA,2001,1,1,0,0,0,0,3,34,1,3,5,0,43
Andhra pradesh,NELLORE,2001,0,4,3,0,0,1,6,31,0,29,13,1,74
Andhra pradesh,NIZAMABAD,2001,0,2,3,0,0,0,9,9,0,23,14,0,46
Andhra pradesh,PRAKASHAM,2001,1,0,0,0,0,0,28,52,4,29,29,0,114
Andhra pradesh,RANGA REDDY,2001,2,7,0,0,0,0,8,83,4,93,17,0,197
Andhra pradesh,SECUNDERABAD RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra pradesh,SRIKAKULAM,2001,1,1,0,0,0,0,2,24,11,5,4,0,44
Andhra pradesh,VIJAYAWADA,2001,1,3,3,0,1,2,146,4,14,97,153,3,271
Andhra pradesh,VIJAYAWADA RLY.,2001,0,0,0,0,0,0,0,1,0,1,0,0,2
Andhra pradesh,VISAKHA RURAL,2001,0,0,0,0,0,0,5,8,43,46,5,0,102
Andhra pradesh,VISAKHAPATNAM,2001,0,0,0,0,0,0,2,14,3,6,2,0,25
Andhra pradesh,VIZIANAGARAM,2001,2,2,0,0,0,0,0,2,17,21,4,0,44
Andhra pradesh,WARANGAL,2001,0,3,0,0,0,0,7,22,9,57,10,0,98
Andhra pradesh,WEST GODAVARI,2001,0,1,0,0,0,0,7,43,10,27,8,0,88
Arunachal pradesh,CHANGLANG,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,DIBANG VALLEY,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,KAMENG EAST,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,KAMENG WEST,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,LOHIT,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,PAPUM PARE,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,SIANG EAST,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,SIANG UPPER,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,SIANG WEST,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,SUBANSIRI LOWER,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,SUBANSIRI UPPER,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,TAWANG,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal pradesh,TIRAP,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,BARPETA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,BONGAIGAON,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,C.I.D.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,CACHAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DARRANG,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DHEMAJI,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DHUBRI,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,DIBRUGARH,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,G.R.P.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,GOALPARA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,GOLAGHAT,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,GUWAHATI CITY,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,HAILAKANDI,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,JORHAT,2001,0,0,0,0,1,0,4,0,0,0,4,1,5
Assam,KAMRUP,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,KARBI ANGLONG,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,KARIMGANJ,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,KOKRAJHAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,LAKHIMPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,MORIGAON,2001,0,0,0,0,0,0,0,1,0,0,0,0,1
Assam,N.C. HILLS,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,NAGAON,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,NALBARI,2001,0,0,0,0,0,1,0,0,0,0,0,1,1
Assam,R.P.O.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,SIBSAGAR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,SONITPUR,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,TINSUKIA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,ARARIA,2001,1,9,2,0,0,0,2,5,0,24,14,0,43
Bihar,ARWAL,2001,0,0,0,0,0,1,0,3,0,2,0,1,6
Bihar,AURANGABAD,2001,1,0,0,1,0,0,10,13,0,0,11,1,25
Bihar,BAGAHA,2001,0,0,0,0,0,0,35,0,20,0,35,0,55
Bihar,BANKA,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,BEGUSARAI,2001,0,0,0,0,0,0,0,38,7,27,0,0,72
Bihar,BETTIAH,2001,8,3,0,0,0,0,0,9,0,9,11,0,29
Bihar,BHABHUA,2001,2,0,0,1,1,1,29,3,0,0,31,3,37
Bihar,BHAGALPUR,2001,1,0,0,0,0,0,0,25,0,14,1,0,40
Bihar,BHOJPUR,2001,0,0,1,0,0,1,5,16,0,9,6,1,32
Bihar,BUXAR,2001,0,0,0,0,0,0,17,17,0,0,17,0,34
Bihar,DARBHANGA,2001,0,0,0,0,0,0,0,29,0,0,0,0,29
Bihar,GAYA,2001,0,0,0,0,0,0,28,28,0,0,28,0,56
Bihar,GOPALGANJ,2001,0,0,0,0,0,2,9,14,0,3,9,2,28
Bihar,JAMALPUR RLY.,2001,0,0,0,0,0,0,0,0,0,0,0,0,0
